name	clade	parent clades
EPI_ISL_414632|France|2020-03-04	20A	
EPI_ISL_414627|France|2020-03-02	20C	20A
EPI_ISL_414637|France|2020-03-04	20A	
EPI_ISL_414642|OtherEuropean|2020-03-08	20C	20A
EPI_ISL_414629|France|2020-03-03	20A	
EPI_ISL_414634|France|2020-03-04	20C	20A
EPI_ISL_414636|France|2020-03-04	20C	20A
EPI_ISL_414623|France|2020-02-25	19B	
EPI_ISL_417234|OtherEuropean|2020-03-02	20B	20A
EPI_ISL_417206|OtherEuropean|2020-03-06	19B	
EPI_ISL_406596|France|2020-01-23	19A	
EPI_ISL_416750|France|2020-03-06	20A	
EPI_ISL_416754|France|2020-03-06	20A	
EPI_ISL_416751|France|2020-03-05	20A	
EPI_ISL_416753|France|2020-03-06	20C	20A
EPI_ISL_417205|OtherEuropean|2020-03-02	19B	
EPI_ISL_417981|OtherEuropean|2020-03-02	19B	
EPI_ISL_413593|OtherEuropean|2020-02-29	20A	
EPI_ISL_416488|OtherEuropean|2020-03-03	19A	
EPI_ISL_418219|France|2020-02-26	20A	
EPI_ISL_418218|France|2020-02-21	20C	20A
EPI_ISL_415698|OtherEuropean|2020-02-27	20B	20A
EPI_ISL_406716|Hubei|2020-01-02	19A	
EPI_ISL_406717|Hubei|2020-01-02	19A	
EPI_ISL_416752|France|2020-03-04	20A	
EPI_ISL_416749|France|2020-03-04	20A	
EPI_ISL_416756|France|2020-03-06	20A	
EPI_ISL_416757|France|2020-03-07	20A	
EPI_ISL_416747|France|2020-03-04	20A	
EPI_ISL_416758|France|2020-03-08	20A	
EPI_ISL_416748|France|2020-03-04	20C	20A
EPI_ISL_416746|France|2020-03-03	20B	20A
EPI_ISL_402121|Hubei|2019-12-30	19A	
EPI_ISL_402125|Hubei|2019-12-26	19A	
EPI_ISL_412973|Italy|2020-02-20	20A	
EPI_ISL_418220|France|2020-02-28	20C	20A
EPI_ISL_418224|France|2020-03-08	20C	20A
EPI_ISL_418223|France|2020-03-05	20A	
EPI_ISL_418225|France|2020-03-08	20A	
EPI_ISL_418221|France|2020-03-02	20C	20A
EPI_ISL_418222|France|2020-03-04	20A	
EPI_ISL_418251|OtherEuropean|2020-02-25	 -- 	
EPI_ISL_418246|OtherEuropean|2020-03-01	19B	
EPI_ISL_418245|OtherEuropean|2020-03-01	19B	
EPI_ISL_418247|OtherEuropean|2020-02-26	 -- 	
EPI_ISL_418249|OtherEuropean|2020-03-03	19B	
EPI_ISL_418248|OtherEuropean|2020-03-01	19B	
EPI_ISL_418243|OtherEuropean|2020-02-28	19A	
EPI_ISL_402130|Hubei|2019-12-30	19A	
EPI_ISL_412912|Germany|2020-02-25	20B	20A
EPI_ISL_418252|OtherEuropean|2020-03-04	19B	
EPI_ISL_410546|Italy|2020-01-29	19A	
EPI_ISL_414021|OtherEuropean|2020-02-27	20B	20A
EPI_ISL_417979|OtherEuropean|2020-03-03	19B	
EPI_ISL_417921|Italy|2020-03-01	20A	
EPI_ISL_417922|Italy|2020-02-28	20B	20A
EPI_ISL_417923|Italy|2020-03-04	20A	
EPI_ISL_411957|Hubei|2020-01-08	19A	
EPI_ISL_411951|OtherEuropean|2020-02-07	19A	
EPI_ISL_410486|France|2020-02-08	19A	
